,id,text,Party_Obligate,Party_Beneficiary,Action_Verbs,Action_Clause,Condition,Condition_Verb,has_condition
10,cl3autklb12h2076igurzboja,"if any lender requests compensation under section 3.1(b)(iv) or section 3.5 (any such lender, an “ affected lender ”), then such affected lender shall use reasonable efforts to promptly designate a different one of its lending offices or to assign its rights and obligations hereunder to another of its offices or branches, if (i) in the reasonable judgment of such affected lender, such designation or assignment would eliminate or reduce amounts payable pursuant to section 3.1(b)(iv) or section 3.5 and (ii) in the reasonable judgment of such affected lender, such designation or assignment would not subject it to any material unreimbursed cost or expense and would not otherwise be materially disadvantageous to it. the borrowers agree to pay all reasonable out-of-pocket costs and expenses incurred by such affected lender in connection with any such designation or assignment. if, after such reasonable efforts, such affected lender does not so designate a different one of its lending offices or assign its rights to another of its offices or branches so as to eliminate borrowers’ obligation to pay any future amounts to such affected lender pursuant to section 3.1(b)(iv) or section 3.5, as applicable, then the borrowers (without prejudice to any amounts then due to such affected lender under section 3.1(b)(iv) or section 3.5) may, unless prior to the effective date of any such assignment the affected lender withdraws its request for such additional amounts under section 3.1(b)(iv) or section 3.5, seek a substitute lender reasonably acceptable to agent to purchase the obligations owed to such affected lender and such affected lender’s u.s. commitment and such affected lender’s or its affiliate’s canadian commitment hereunder (a “ replacement lender ”), and if such replacement lender agrees to such purchase, such affected lender shall assign to the replacement lender its obligations and u.s. commitment and/or its or its affiliates canadian commitment, pursuant to an assignment and acceptance, and upon such purchase by the replacement lender, such replacement lender shall be deemed to be a “lender” for purposes of this agreement and such affected lender shall cease to be a “lender” for purposes of this agreement.",['lender'],[],"['use', 'designate', 'assign']","['then such affected lender shall use reasonable efforts to promptly designate a different one of its lending offices or to assign its rights and obligations hereunder to another of its offices or branches,']","['if any lender requests compensation under section 3.1(b)(iv) or section 3.5 (any such lender, an “ affected lender ”),']",['requests'],true
11,cl3autkxe11v6077d2bmn737o,"upon receipt of written notice from the company that a registration statement or prospectus contains a misstatement, each of the holders shall forthwith discontinue disposition of registrable securities until it has received copies of a supplemented or amended prospectus correcting the misstatement (it being understood that the company hereby covenants to prepare and file such supplement or amendment as soon as practicable after the time of such notice), or until it is advised in writing by the company that the use of the prospectus may be resumed. if the filing, initial effectiveness or continued use of a registration statement in respect of any registration at any time would require the company to make an adverse disclosure or would require the inclusion in such registration statement of financial statements that are unavailable to the company for reasons beyond the company’s control, the company may, upon giving prompt written notice of such action to the holders, delay the filing or initial effectiveness of, or suspend use of, such registration statement for the shortest period of time, but in no event more than thirty (30) days, determined in good faith by the company to be necessary for such purpose. in the event the company exercises its rights under the preceding sentence, the holders agree to suspend, immediately upon their receipt of the notice referred to above, their use of the prospectus relating to any registration in connection with any sale or offer to sell registrable securities. the company shall immediately notify the holders of the expiration of any period during which it exercised its rights under this  section 3.4 .","['holders', 'company', 'holders']",[],"['discontinue', 'delay', 'suspend', 'notify', 'suspend']","['each of the holders shall forthwith discontinue disposition of registrable securities until it has received copies of a supplemented or amended prospectus correcting the misstatement (it being understood that the company hereby covenants to prepare and file such supplement or amendment as soon as practicable after the time of such notice), or until it is advised in writing by the company that the use of the prospectus may be resumed.', 'the company may,', 'delay the filing or initial effectiveness of, or suspend use of, such registration statement for the shortest period of time, but in no event more than thirty (30) days, determined in good faith by the company to be necessary for such purpose.', 'the holders agree to suspend, immediately upon their receipt of the notice referred to above, their use of the prospectus relating to any registration in connection with any sale or offer to sell registrable securities.', 'the company shall immediately notify the holders of the expiration of any period during which it exercised its rights under this\xa0 section 3.4 .']","['upon receipt of written notice from the company that a registration statement or prospectus contains a misstatement,', 'if the filing, initial effectiveness or continued use of a registration statement in respect of any registration at any time would require the company to make an adverse disclosure or would require the inclusion in such registration statement of financial statements that are unavailable to the company for reasons beyond the company’s control,', 'upon giving prompt written notice of such action to the holders,', 'in the event the company exercises its rights under the preceding sentence,']",[],true
12,cl3auxwyh15je07856b702hs1,"in the event any member unexpectedly receives any adjustments, allocations or distributions described in treasury regulations sections 1.704‑1(b)(2)(ii)(d)(4), (5) or (6), company items of income and gain shall be allocated to such member in an amount and manner sufficient to eliminate as quickly as possible, to the extent required by the treasury regulations, any adjusted capital account deficit; provided that an allocation pursuant to this section 4.3(d) shall be made only if and to the extent that such member would have such a deficit capital account after all other adjustments provided for in this section 4.3 have been tentatively made as if this section 4.3(d) were not in this agreement.",[],[],['allocated'],"['allocations or distributions described in treasury regulations sections\xa01.704‑1(b)(2)(ii)(d)(4), (5) or (6), company items of income and gain shall be allocated to such member in an amount and manner sufficient to eliminate as quickly as possible, to the extent required by the treasury regulations, any adjusted capital account deficit;']","['in the event any member unexpectedly receives any adjustments,', 'provided that an allocation pursuant to this section\xa04.3(d) shall be made only if and to the extent that such member would have such a deficit capital account after all other adjustments provided for in this section\xa04.3 have been tentatively made as if this section\xa04.3(d) were not in this agreement.']",['receives'],true
13,cl3av238w136o0786h2awbdaj,"any distribution or delivery to be made to participant under this award agreement will, if participant is then deceased, be made to participant’s designated beneficiary, or if no beneficiary survives participant, the administrator or executor of participant’s estate. any such transferee must furnish the company with (a) written notice of his or her status as transferee, and (b) evidence satisfactory to the company to establish the validity of the transfer and compliance with any laws or regulations pertaining to said transfer.",[],"['participant’s designated beneficiary', 'administrator', 'executor', 'participant', 'company']","['made', 'furnish']","['any distribution or delivery to be made to participant under this award agreement will,', 'be made to participant’s designated beneficiary,', 'the administrator or executor of participant’s estate', 'any such transferee must furnish the company with (a) written notice of his or her status as transferee, and (b) evidence satisfactory to the company to establish the validity of the transfer and compliance with any laws or regulations pertaining to said transfer.']","['if participant is then deceased,', 'or if no beneficiary survives participant,']",[],true
14,cl3av4nih11gn07869b5z8tu1,"the executive may on 60 days’ written notice to the company resign his employment and such resignation shall not constitute a breach of this agreement.  in the event of said resignation, the term shall terminate and no further amounts or benefits shall be payable hereunder other than (i) for accrued, but unpaid, base salary as of such date and (ii) to the extent expressly required pursuant to the terms of the company’s compensation and benefit plans and policies as in effect on the date of termination.",['executive'],['company'],"['resign', 'constitute', 'terminate', 'shall be payable']","['the executive may on 60 days’ written notice to the company resign his employment and such resignation shall not constitute a breach of this agreement.', 'the term shall terminate and no further amounts or benefits shall be payable hereunder other than (i) for accrued, but unpaid, base salary as of such date and (ii) to the extent expressly required pursuant to the terms of the company’s compensation and benefit plans and policies as in effect on the date of termination.']","['in the event of said resignation,']",[],true
15,cl3av9rki13dr074ba0fw9abj,"during such time as this debenture is outstanding, if the company shall declare or make any dividend or other distribution of its assets (or rights to acquire its assets) to holders of shares of common stock, by way of return of capital or otherwise (including, without limitation, any distribution of cash, stock or other securities, property or options by way of a dividend, spin off, reclassification, corporate rearrangement, scheme of arrangement or other similar transaction) (a "" distribution ""), at any time after the issuance of this debenture, then, in each such case, the holder shall be entitled to participate in such distribution to the same extent that the holder would have participated therein if the holder had held the number of shares of common stock acquirable upon complete conversion of this debenture (without regard to any limitations on exercise hereof, including without limitation, the beneficial ownership limitation) immediately before the date of which a record is taken for such distribution, or, if no such record is taken, the date as of which the record holders of shares of common stock are to be determined for the participation in such distribution ( provided , however , to the extent that the holder's right to participate in any such distribution would result in the holder exceeding the beneficial ownership limitation, then the holder shall not be entitled to participate in such distribution to such extent (or in the beneficial ownership of any shares of common stock as a result of such distribution to such extent) and the portion of such distribution shall be held in abeyance for the benefit of the holder until such time, if ever, as its right thereto would not result in the holder exceeding the beneficial ownership limitation).",['company'],['holder'],[],"[""the holder shall be entitled to participate in such distribution to the same extent that the holder would have participated therein if the holder had held the number of shares of common stock acquirable upon complete conversion of this debenture (without regard to any limitations on exercise hereof, including without limitation, the beneficial ownership limitation) immediately before the date of which a record is taken for such distribution, or, if no such record is taken, the date as of which the record holders of shares of common stock are to be determined for the participation in such distribution ( provided , however , to the extent that the holder's right to participate in any such distribution would result in the holder exceeding the beneficial ownership limitation, then the holder shall not be entitled to participate in such distribution to such extent (or in the beneficial ownership of any shares of common stock as a result of such distribution to such extent) and the portion of such distribution shall be held in abeyance for the benefit of the holder until such time, if ever, as its right thereto would not result in the holder exceeding the beneficial ownership limitation).""]","['during such time as this debenture is outstanding, if the company shall declare or make any dividend or other distribution of its assets (or rights to acquire its assets) to holders of shares of common stock, by way of return of capital or otherwise (including, without limitation, any distribution of cash, stock or other securities, property or options by way of a dividend, spin off, reclassification, corporate rearrangement, scheme of arrangement or other similar transaction) (a "" distribution ""), at any time after the issuance of this debenture, then, in each such case,']",[],true
16,cl3av9rs613ds074b96n7fqpo,"during the contract period, the company shall have the right to terminate the executive for cause, upon written notice to the executive of the termination which notice shall specify the reasons for the termination. in the event of termination for cause the executive shall be entitled to any compensation or benefits earned through the date of termination but shall not be entitled to any further compensation or benefits under this agreement.",['executive'],"['executive', 'company']","['terminate', 'be entitled']","['the company shall have the right to terminate the executive for cause,', 'the executive shall be entitled to any compensation or benefits earned through the date of termination but shall not be entitled to any further compensation or benefits under this agreement.']","['during the contract period,', 'upon written notice to the executive of the termination which notice shall specify the reasons for the termination.', 'in the event of termination for cause']",[],true
17,cl3avcc6f12bm0786a25n92wu,"upon receipt by tenant of written notice from landlord that tenant is more than ten (10) days late in paying any installment of base rent or additional rent due under this lease, tenant shall pay to landlord a late charge equal to ten percent (10%) of each delinquent amount of rent and any subsequent delinquent amount of rent. the parties agree that the amount of such late charge represents a reasonable estimate of the cost and expense that would be incurred by landlord in processing each delinquent payment of rent by tenant and that such late charge shall be paid to landlord as liquidated damages for each delinquent payment, but the payment of such late charge shall not excuse or cure any default by tenant under this lease.",['tenant'],['landlord'],['pay'],['tenant shall pay to landlord a late charge equal to ten percent (10%) of each delinquent amount of rent and any subsequent delinquent amount of rent.'],"['upon receipt by tenant of written notice from landlord that tenant is more than ten (10) days late in paying any installment of base rent or additional rent due under this lease,']",[],true
18,cl3ave2pp13na077d0xlgcvkt,"in addition to any adjustments pursuant to section 8 below, if at any time the company grants, issues or sells any options, convertible securities or rights to purchase stock, warrants, securities or other property pro rata to the record holders of any class of common stock (the “ purchase rights ”), then each holder will be entitled to acquire, upon the terms applicable to such purchase rights, the aggregate purchase rights which such holder could have acquired if such holder had held the number of shares of common stock acquirable upon complete conversion of all the preferred shares (without taking into account any limitations or restrictions on the convertibility of the preferred shares) held by such holder immediately before the date on which a record is taken for the grant, issuance or sale of such purchase rights, or, if no such record is taken, the date as of which the record holders of common stock are to be determined for the grant, issue or sale of such purchase rights (provided, however, to the extent that such holder’s right to participate in any such purchase right would result in such holder exceeding the maximum percentage, then such holder shall not be entitled to participate in such purchase right to such extent (or beneficial ownership of such shares of common stock as a result of such purchase right to such extent) and such purchase right to such extent shall be held in abeyance for such holder until such time, if ever, as its right thereto would not result in such holder exceeding the maximum percentage).",[],['holder'],['entitled'],"['then each holder will be entitled to acquire, upon the terms applicable to such purchase rights, the aggregate purchase rights which such holder could have acquired if such holder had held the number of shares of common stock acquirable upon complete conversion of all the preferred shares (without taking into account any limitations or restrictions on the convertibility of the preferred shares) held by such holder immediately before the date on which a record is taken for the grant, issuance or sale of such purchase rights, or, if no such record is taken, the date as of which the record holders of common stock are to be determined for the grant, issue or sale of such purchase rights (provided, however, to the extent that such holder’s right to participate in any such purchase right would result in such holder exceeding the maximum percentage, then such holder shall not be entitled to participate in such purchase right to such extent (or beneficial ownership of such shares of common stock as a result of such purchase right to such extent) and such purchase right to such extent shall be held in abeyance for such holder until such time, if ever, as its right thereto would not result in such holder exceeding the maximum percentage).']","['in addition to any adjustments pursuant to section 8 below, if at any time the company grants, issues or sells any options, convertible securities or rights to purchase stock, warrants, securities or other property pro rata to the record holders of any class of common stock (the “ purchase rights ”),']",[],true
19,cl3avfz0012ma0786e8y1amvw,"any dispute, controversy or claim arising out of or related to this agreement or any breach of this agreement shall be submitted to an independent third party mediator. should there be issues that cannot be resolved in a mediation process, then the dispute shall be forwarded to arbitration and shall be administered by the american arbitration association and conducted consistently with the rules, regulations and requirements thereof as well as any requirements imposed by state law. any award determination shall be final and binding upon the parties. the company will be responsible for all costs of these proceedings.",[],[],"['submitted', 'forwarded']","['any dispute, controversy or claim arising out of or related to this agreement or any breach of this agreement shall be submitted to an independent third party mediator.', 'then the dispute shall be forwarded to arbitration and shall be administered by the american arbitration association and conducted consistently with the rules, regulations and requirements thereof as well as any requirements imposed by state law.']","['should there be issues that cannot be resolved in a mediation process,']",[],true
20,cl3avhb9y17as078513hv5ht3,"if the employee’s employment shall be terminated by the company for cause or upon the employee’s resignation without good reason, the employee shall only be entitled to receive the accrued rights. following the employee’s termination of employment by the company for cause or upon the employee’s resignation without good reason, except as set forth in this section 3(d), the employee shall have no further rights to any compensation or any other benefits under this agreement.","['company', 'company']","['employee', 'employee']","['entitled', 'have']","['the employee shall only be entitled to receive the accrued rights.', 'the employee shall have no further rights to any compensation or any other benefits under this agreement.']","['if the employee’s employment shall be terminated by the company for cause or upon the employee’s resignation without good reason,', 'following the employee’s termination of employment by the company for cause or upon the employee’s resignation without good reason, except as set forth in this section 3(d),']",[],true
21,cl3avihvc140p077d3p3mfyt0,"if the reallocation described in clause (iv) above cannot, or can only partially, be effected, the borrower shall, without prejudice to any right or remedy available to it hereunder or under law cash collateralize the issuing banks’ fronting exposure in a manner consistent with the procedures set forth in section 2.05(j) except that such cash collateral shall only be held in respect of such fronting exposure.",[],[],['collateralize'],"['the borrower shall, without prejudice to any right or remedy available to it hereunder or under law cash collateralize the issuing banks’ fronting exposure in a manner consistent with the procedures set forth in section 2.05(j) except that such cash collateral shall only be held in respect of such fronting exposure.']","['if the reallocation described in clause (iv) above cannot, or can only partially, be effected,']",[],true
22,cl3avjwcd14t7076i5gj79qq5,"the company may terminate the executive’s employment if he is disabled and unable to perform the essential functions of the executive’s then existing position or positions under this agreement with or without reasonable accommodation for a period of 180 days (which need not be consecutive) in any 12-month period. if any question shall arise as to whether during any period the executive is disabled so as to be unable to perform the essential functions of the executive’s then existing position or positions with or without reasonable accommodation, the executive may, and at the request of the company shall, submit to the company a certification in reasonable detail by a physician selected by the company to whom the executive or the executive’s guardian has no reasonable objection as to whether the executive is so disabled or how long such disability is expected to continue, and such certification shall for the purposes of this agreement be conclusive of the issue. the executive shall cooperate with any reasonable request of the physician in connection with such certification. if such question shall arise and the executive shall fail to submit such certification, the company’s determination of such issue shall be binding on the executive. nothing in this section 2(b) shall be construed to waive the executive’s rights, if any, under existing law including, without limitation, the family and medical leave act of 1993, 29 u.s.c. §2601 et seq . and the americans with disabilities act, 42 u.s.c. §12101 et seq.",['executive'],['company'],"['terminate', 'submit']","['the company may terminate the executive’s employment', 'the executive may, and at the request of the company shall, submit to the company a certification in reasonable detail by a physician selected by the company to whom the executive or the executive’s guardian has no reasonable objection as to whether the executive is so disabled or how long such disability is expected to continue, and such certification shall for the purposes of this agreement be conclusive of the issue.']","['if he is disabled and unable to perform the essential functions of the executive’s then existing position or positions under this agreement with or without reasonable accommodation for a period of 180 days (which need not be consecutive) in any 12-month period.', 'if any question shall arise as to whether during any period the executive is disabled so as to be unable to perform the essential functions of the executive’s then existing position or positions with or without reasonable accommodation,']",[],true
23,cl3avn96f1352078663nzcui3,"notwithstanding any other provision of the plan or the agreement, if you are subject to section 16 of the exchange act, the plan, the rsus and the agreement shall be subject to any additional limitations set forth in any applicable exemptive rule under section 16 of the exchange act (including any amendment to rule 16b-3 of the exchange act) that are requirements for the application of such exemptive rule. to the extent permitted by applicable laws, the agreement shall be deemed amended to the extent necessary to conform to such applicable exemptive rule.",[],[],"['shall be subject', 'shall be deemed']","['the plan, the rsus and the agreement shall be subject to any additional limitations set forth in any applicable exemptive rule under section 16 of the exchange act (including any amendment to rule 16b-3 of the exchange act) that are requirements for the application of such exemptive rule.', 'the agreement shall be deemed amended to the extent necessary to conform to such applicable exemptive rule.']","['notwithstanding any other provision of the plan or the agreement, if you are subject to section 16 of the exchange act,', 'to the extent permitted by applicable laws,']",[],true
