,type_relation,source,id,type_token,text
29,Condition triggering an action,token-cl35ta1du00it296ak8i6bm3l,token-cl35ta1du00it296ak8i6bm3l,time_sensitive_condition_event,Effective Date
30,Condition triggering an action,token-cl35tkpiw00ne296ap7zfffpt,token-cl35tkpiw00ne296ap7zfffpt,time_sensitive_condition_event,Change in Control
31,Condition triggering an action,token-cl35u8qzk00z4296aeet0l1bv,token-cl35u8qzk00z4296aeet0l1bv,time_sensitive_condition_event,Effective Date
32,Condition triggering an action,token-cl35un0qp000h296azsthxol5,token-cl35un0qp000h296azsthxol5,triggering_condition_event,funds
33,Condition triggering an action,token-cl35uxt9j00ch296at9v2ev2c,token-cl35uxt9j00ch296at9v2ev2c,time_sensitive_condition_event,Sixth Amendment Effective Date
34,Condition triggering an action,token-cl3fb3mgf00a4296a7tk65m01,token-cl3fb3mgf00a4296a7tk65m01,time_sensitive_condition_phrase,"effective January 1, 2025,"
35,Condition triggering an action,token-cl3fb3mgf00a4296a7tk65m01,token-cl3fb3mgf00a4296a7tk65m01,time_sensitive_condition_phrase,"effective January 1, 2025,"
36,Condition triggering an action,token-cl35v78y000gb296aj7kzz0j2,token-cl35v78y000gb296aj7kzz0j2,time_sensitive_condition_phrase,"with respect to any Impeding Event that commences on or after the Sixth Amendment Effective Date and prior to January 1, 2025 but has not been resolved by December 31, 2024, "
37,Condition triggering an action,token-cl35vc8eo00jb296af6jkvtot,token-cl35vc8eo00jb296af6jkvtot,triggering_condition_phrase,As soon as practicable after any payment of Taxes by any Obligor
38,Condition triggering an action,token-cl35vijyt00s4296a9qwadx1x,token-cl35vijyt00s4296a9qwadx1x,time_sensitive_condition_event, demand
39,Condition triggering an action,token-cl35vkhi100v6296a3ru3j7n8,token-cl35vkhi100v6296a3ru3j7n8,triggering_condition_event,determines
40,Condition triggering an action,token-cl35vm4800134296al8rv1lif,token-cl35vm4800134296al8rv1lif,time_sensitive_condition_event,written demand
41,Condition triggering an action,token-cl35vu2e1015y296az2f9o92m,token-cl35vu2e1015y296az2f9o92m,time_sensitive_condition_event,Effective Date
42,Condition triggering an action,token-cl35w06ao01be296actol109d,token-cl35w06ao01be296actol109d,modifying_condition_event,exercise
43,Condition triggering an action,token-cl35wcj9o01i1296aqbh4s5wo,token-cl35wcj9o01i1296aqbh4s5wo,time_sensitive_condition_event,written demand
44,Condition triggering an action,token-cl4m794kj014s356fmgjpycck,token-cl4m794kj014s356fmgjpycck,triggering_condition_event,until paid.
45,Condition triggering an action,token-cl360dh5a000x296acnkc0z2q,token-cl360dh5a000x296acnkc0z2q,triggering_condition_phrase,"Unless otherwise provided,"
46,Condition triggering an action,token-cl360emz0001c296atuiwf3la,token-cl360emz0001c296atuiwf3la,triggering_condition_phrase,When a payment is due on a day that is not a Business Day
47,Condition triggering an action,token-cl360hl9r0020296an1lplj8d,token-cl360hl9r0020296an1lplj8d,triggering_condition_event,default
48,Condition triggering an action,token-cl4m6ruxg011h356fc608u6hz,token-cl4m6ruxg011h356fc608u6hz,triggering_condition_phrase,"upon the occurrence and continuation of an Event of Default,"
49,Condition triggering an action,token-cl360tycy006o296aesz9047z,token-cl360tycy006o296aesz9047z,triggering_condition_event,demand
50,Condition triggering an action,token-cl38oaz6200g3296a6x7giufb,token-cl38oaz6200g3296a6x7giufb,triggering_condition_event,calculating
51,Condition triggering an action,token-cl38ntkdt0013296aacdcsika,token-cl38ntkdt0013296aacdcsika,modifying_condition_event,delivery
52,Condition triggering an action,token-cl38pey7001aj296ahshn6gr8,token-cl38pey7001aj296ahshn6gr8,triggering_condition_event,Payment
53,Condition triggering an action,token-cl38qcnep021d296a67zn9x0x,token-cl38qcnep021d296a67zn9x0x,triggering_condition_phrase,until all of the Senior Obligations have been Paid in Full.
54,Condition triggering an action,token-cl38qmo1f02nv296azqv3qamp,token-cl38qmo1f02nv296azqv3qamp,triggering_condition_event,disgorge 
55,Condition triggering an action,token-cl38xwpqq010o296azikx4isk,token-cl38xwpqq010o296azikx4isk,time_sensitive_condition_event,available
56,Condition triggering an action,token-cl38y3tb201hv296a7k7x8iqm,token-cl38y3tb201hv296a7k7x8iqm,triggering_condition_event, advised
57,Condition triggering an action,token-cl38zh9hz000p296anvjpkzux,token-cl38zh9hz000p296anvjpkzux,triggering_condition_phrase," in the absence of an effective registration statement covering the Securities or an available exemption from registration under the Securities Act,"
58,Condition triggering an action,token-cl390edpf00ti296a78xmrsbg,token-cl390edpf00ti296a78xmrsbg,triggering_condition_event,execution and delivery
59,Condition triggering an action,token-cl390cwhh00ta296argsm0a8m,token-cl390cwhh00ta296argsm0a8m,triggering_condition_event,delivered
60,Condition triggering an action,token-cl3910i7v025k296azcg6kc87,token-cl3910i7v025k296azcg6kc87,triggering_condition_event,translated
61,Condition triggering an action,token-cl390wtai01qr296aormrbzad,token-cl390wtai01qr296aormrbzad,triggering_condition_event,different
62,Condition triggering an action,token-cl3930gnm00vf296a7lfkdzci,token-cl3930gnm00vf296a7lfkdzci,time_sensitive_condition_phrase,to the extent timely received by the Administrative Agent
63,Condition triggering an action,token-cl392ojon00uv296a19zfmb2d,token-cl392ojon00uv296a19zfmb2d,time_sensitive_condition_phrase,to the extent not timely received by the Administrative Agent
64,Condition triggering an action,token-cl393exk001aq296a671z8a60,token-cl393exk001aq296a671z8a60,triggering_condition_phrase," if such offer is revoked or notice rescinded,"
65,Condition triggering an action,token-cl393a4kg01a9296a8lx2lbn0,token-cl393a4kg01a9296a8lx2lbn0,triggering_condition_phrase," if the Lenders’ response is such that the Discounted Prepayment could not be completed for 100% of the Discounted Prepayment Amount,"
66,Condition triggering an action,token-cl3buj2350005296aej6coy4k,token-cl3buj2350005296aej6coy4k,triggering_condition_event,obligation
67,Condition triggering an action,token-cl39gsqgc000b296ahfscvdwi,token-cl39gsqgc000b296ahfscvdwi,triggering_condition_event,notification
68,Condition triggering an action,token-cl39gsqgc000b296ahfscvdwi,token-cl39gsqgc000b296ahfscvdwi,triggering_condition_event,notification
69,Condition triggering an action,token-cl39gsqgc000b296ahfscvdwi,token-cl39gsqgc000b296ahfscvdwi,triggering_condition_event,notification
70,Condition triggering an action,token-cl39h1fat0026296aeuiztdxa,token-cl39h1fat0026296aeuiztdxa,triggering_condition_phrase,Effective upon written notification by Lender to Borrower
71,Condition triggering an action,token-cl39hervi000r296adb99ey84,token-cl39hervi000r296adb99ey84,triggering_condition_phrase,"may, in reliance upon such assumption,"
72,Condition triggering an action,token-cl39i0lpu00ja296awg0429yo,token-cl39i0lpu00ja296awg0429yo,triggering_condition_phrase,"on demand the amount so distributed to such Lender or any L/C Issuer,"
73,Condition triggering an action,token-cl39imunx01c8296a24de1c8i,token-cl39imunx01c8296a24de1c8i,triggering_condition_event, payment or prepayment
74,Condition triggering an action,token-cl39iza7g01nr296ac3vhaku5,token-cl39iza7g01nr296ac3vhaku5,triggering_condition_event,termination
75,Condition triggering an action,token-cl39j1vyc01rs296al62fkr88,token-cl39j1vyc01rs296al62fkr88,triggering_condition_phrase,"Executive , at the Board’s request,"
76,Condition triggering an action,token-cl3flhoib008r296a9gpagq75,token-cl3flhoib008r296a9gpagq75,triggering_condition_event,expressly agreed
77,Condition triggering an action,token-cl3fpcnba000d296az9v05t2v,token-cl3fpcnba000d296az9v05t2v,time_sensitive_condition_event,invoice or due date
78,Condition triggering an action,token-cl39jxdht02be296a6k1egaua,token-cl39jxdht02be296a6k1egaua,triggering_condition_phrase,upon the request of all Lenders
79,Condition triggering an action,token-cl4m9oyx3021t356fhcspovnz,token-cl4m9oyx3021t356fhcspovnz,triggering_condition_phrase,"unless specifically requested to do so by the Agent,"
80,Condition triggering an action,token-cl39kar6k02nz296at2w7xjck,token-cl39kar6k02nz296at2w7xjck,triggering_condition_event,issued
81,Condition triggering an action,token-cl39kar6k02nz296at2w7xjck,token-cl39kar6k02nz296at2w7xjck,triggering_condition_event,issued
82,Condition triggering an action,token-cl39kai2j02ns296aq1mclnmj,token-cl39kai2j02ns296aq1mclnmj,triggering_condition_phrase,Unless and until such time as Shares are issued in settlement of vested PSUs
83,Condition triggering an action,token-cl3buob500002296a1k1sq9vq,token-cl3buob500002296a1k1sq9vq,triggering_condition_phrase,the earlier of (a) the payment in full of all outstanding Notes and the satisfaction and discharge of the Indenture and (b) the date the Issuer is terminated under the Trust Agreement.
84,Condition triggering an action,token-cl3a4knb601wq296a3afk8qmu,token-cl3a4knb601wq296a3afk8qmu,triggering_condition_event,on the date of this Agreement.
85,Condition triggering an action,token-cl3a5601t02qa296abaqt42hj,token-cl3a5601t02qa296abaqt42hj,triggering_condition_phrase,"a material diminution in Executive’s authority, duties or responsibilities, including a requirement that the Executive report on a permanent basis to any individual other than the Company’s principal executive officer or the Board; "
86,Condition triggering an action,token-cl3a578rq02y1296abim0uque,token-cl3a578rq02y1296abim0uque,triggering_condition_event,relocation
87,Condition triggering an action,token-cl3a5b6bm034u296a1tum1tcm,token-cl3a5b6bm034u296a1tum1tcm,triggering_condition_phrase,"unless and until Executive has:  (a) provided the Company, within ninety (90) days of Executive’s first knowledge of the occurrence of the facts and circumstances underlying the Good Reason event, written-notice stating with specificity the applicable facts and circumstances underlying such finding of Good Reason; and"
88,Condition triggering an action,token-cl3a5ba8p034v296a2mpzc3je,token-cl3a5ba8p034v296a2mpzc3je,triggering_condition_phrase,provided the Company with an opportunity to cure the same within thirty (30) days after the receipt of such notice.
89,Condition triggering an action,token-cl3a5udmz041e296ag3rgtg9v,token-cl3a5udmz041e296ag3rgtg9v,time_sensitive_condition_event, receipt
90,Condition triggering an action,token-cl3a6i4km04gh296a0x9zdhxn,token-cl3a6i4km04gh296a0x9zdhxn,triggering_condition_phrase," promptly upon demand by the Designated Agent,"
91,Condition triggering an action,token-cl3a6q3hw04mb296a0sgs993e,token-cl3a6q3hw04mb296a0sgs993e,triggering_condition_phrase,upon the first to occur of the following: (a) the termination of the legal existence of the last remaining member of the Company or the occurrence of any other event which terminates the continued membership of the last remaining member of the Company unless the Company is continued without dissolution in a manner permitted by this Agreement or the Act
92,Condition triggering an action,token-cl3a6r39004mf296axmb4ejsa,token-cl3a6r39004mf296axmb4ejsa,triggering_condition_event,entry
93,Condition triggering an action,token-cl3a76q6105dl296a1rj6enfj,token-cl3a76q6105dl296a1rj6enfj,time_sensitive_condition_event,event
94,Condition triggering an action,token-cl3a98qa5014c296a8gdo3rub,token-cl3a98qa5014c296a8gdo3rub,triggering_condition_phrase,in the event that the payments and/or benefits provided under this Agreement are not exempt from or compliant with Section 409A.
95,Condition triggering an action,token-cl3acvr000191296a284y4f3v,token-cl3acvr000191296a284y4f3v,triggering_condition_event, recorded on 
96,Condition triggering an action,token-cl4mb4dyb03jj356fv28jwgu7,token-cl4mb4dyb03jj356fv28jwgu7,triggering_condition_phrase,unless labeled “exact.”
97,Condition triggering an action,token-cl4mb5de303l8356f3ueigjao,token-cl4mb5de303l8356f3ueigjao,triggering_condition_phrase,only if a “Finish Rider” (Exhibit D) is attached and only as stated expressly in such attachment.
98,Condition triggering an action,token-cl4mb6cbf03my356fy35hckqq,token-cl4mb6cbf03my356fy35hckqq,triggering_condition_phrase,"If there is no Finish Rider attached,"
99,Condition triggering an action,token-cl4mavhc7035v356f302bm66v,token-cl4mavhc7035v356f302bm66v,triggering_condition_phrase,"unless (a) the Securities are sold pursuant to an effective registration statement under the 1933 Act, (b) the Buyer shall have delivered to the Company, at the cost of the Buyer, an opinion of counsel that shall be in form, substance and scope customary for opinions of counsel in comparable transactions to the effect that the Securities to be sold or transferred may be sold or transferred pursuant to an exemption from such registration, which opinion shall be accepted by the Company, (c) the Securities are sold or transferred to an “affiliate” (as defined in Rule 144 promulgated under the 1933 Act (or a successor rule) (“Rule 144”) of the Buyer who agrees to sell or otherwise transfer the Securities only in accordance with this Section 2(f) and who is an Accredited Investor, (d) the Securities are sold pursuant to Rule 144, or (e) the Securities are sold pursuant to Regulation S under the 1933 Act (or a successor rule) (“Regulation S”), and the Buyer shall have delivered to the Company, at the cost of the Buyer, an opinion of counsel that shall be in form, substance and scope customary for opinions of counsel in corporate transactions, which opinion shall be accepted by the Company; "
100,Condition triggering an action,token-cl4mah2cc02o6356fuapc1xg2,token-cl4mah2cc02o6356fuapc1xg2,triggering_condition_phrase,"In the event any Member unexpectedly receives any adjustments, allocations or distributions described in Treasury Regulations Sections 1.704‑1(b)(2)(ii)(d)(4), (5) or (6),"
101,Condition triggering an action,token-cl4maijv002q5356fjbiygn3b,token-cl4maijv002q5356fjbiygn3b,triggering_condition_phrase,only if and to the extent that such Member would have such a deficit Capital Account after all other adjustments provided for in this Section 4.3 have been tentatively made as if this Section 4.3(d) were not in this Agreement.
102,Condition triggering an action,token-cl3av3u4v000c296a1fa5bs54,token-cl3av3u4v000c296a1fa5bs54,time_sensitive_condition_event,demand
103,Condition triggering an action,token-cl3aw2h2p00he296apgdw0w82,token-cl3aw2h2p00he296apgdw0w82,triggering_condition_phrase,"As soon as practicable after any payment of Taxes by any Loan Party to a Governmental Authority, as provided in this Section  3.01 ,"
104,Condition triggering an action,token-cl3habml40002296ajf15d3ke,token-cl3habml40002296ajf15d3ke,triggering_condition_phrase,"when and to the extent such failure or delay is caused by or results from acts beyond the affected Party’s reasonable control, including, without limitation: (a) acts of God; (b) flood, fire, earthquake, or explosion; (c) war, invasion, hostilities (whether war is declared or not), terrorist threats or acts, riot, or other civil unrest; (d) Law; (e) actions, embargoes, or blockades in effect on or after the date of this Agreement; (f) action by any Governmental Authority; (g) national or regional emergency; (h) strikes, labor stoppages or slowdowns, or other industrial disturbances; and (i) shortage of adequate power or transportation facilities."
105,Condition triggering an action,token-cl3blfnnr01h0296ah2hp6ime,token-cl3blfnnr01h0296ah2hp6ime,triggering_condition_event, requests 
106,Condition triggering an action,token-cl3blidoc01k1296atgpwrbi3,token-cl3blidoc01k1296atgpwrbi3,triggering_condition_event,receipt
107,Condition triggering an action,token-cl3bli8qd01k0296ai7ry7vlx,token-cl3bli8qd01k0296ai7ry7vlx,triggering_condition_event,deposit
108,Condition triggering an action,token-cl3boj92c010h296aquf2o0e3,token-cl3boj92c010h296aquf2o0e3,triggering_condition_phrase,"upon the occurrence of an Insolvency Event with respect to the Seller,"
109,Condition triggering an action,token-cl3borkgt013w296a0og068ch,token-cl3borkgt013w296a0og068ch,triggering_condition_event,receipt
110,Condition triggering an action,token-cl3bpm9z6000m296aw8l274q4,token-cl3bpm9z6000m296aw8l274q4,triggering_condition_event,forfeiture and cancellation 
111,Condition triggering an action,token-cl3bpo3dn003b296alyatqsxb,token-cl3bpo3dn003b296alyatqsxb,triggering_condition_phrase,until (and to the extent) you become vested in the related Restricted Stock Units
112,Condition triggering an action,token-cl3bq6q5g00l3296atdl3fxas,token-cl3bq6q5g00l3296atdl3fxas,triggering_condition_event,writing executed
113,Condition triggering an action,token-cl3bq97aw00md296asdpgv61r,token-cl3bq97aw00md296asdpgv61r,triggering_condition_event,signed
114,Condition triggering an action,token-cl4mmrwhn00p3356fn866zy93,token-cl4mmrwhn00p3356fn866zy93,triggering_condition_phrase,"if the other has breached or failed to perform in any material respect any of its representations, warranties, covenants or other agreements contained in this Agreement which is incapable of being cured or is not cured within thirty (30) days of written notice of default;"
115,Condition triggering an action,token-cl4mmsv9m00qp356fjl4lvylf,token-cl4mmsv9m00qp356fjl4lvylf,triggering_condition_phrase,if any of the conditions set forth in Sections 5.01 or 5.02 have not been satisfied on or prior to Closing;
116,Condition triggering an action,token-cl4mmtdn600rw356fnqo68c6k,token-cl4mmtdn600rw356fnqo68c6k,triggering_condition_phrase,if any of the conditions set forth in Section 5.01 and 5.03 have not been satisfied on or prior to Closing.
117,Condition triggering an action,token-cl3brr2f401k3296az07b1g0p,token-cl3brr2f401k3296az07b1g0p,triggering_condition_phrase,"In the event of such termination,"
118,Condition triggering an action,token-cl3bry9fi02e2296a1rgj099c,token-cl3bry9fi02e2296a1rgj099c,triggering_condition_phrase,only if the shareholders of NESR Corp do not approve the consummation of the acquisition of the Company.
119,Condition triggering an action,token-cl3bs0eje02hs296av879f1zg,token-cl3bs0eje02hs296av879f1zg,triggering_condition_phrase,"In that event,"
120,Condition triggering an action,token-cl3bwaae90036296a72itj28v,token-cl3bwaae90036296a72itj28v,time_sensitive_condition_event,Closing
121,Condition triggering an action,token-cl3bwllqw008e296aa82kcf4e,token-cl3bwllqw008e296aa82kcf4e,triggering_condition_phrase,"if, after such exercise, but prior to the commencement date of an Extension Term, (i) Tenant fails to timely cure any default by Tenant under this Lease; or (ii) Tenant has Defaulted 3 or more times during the period from the date of the exercise of an Extension Right to the date of the commencement of the Extension Term, whether or not such Defaults are cured."
122,Condition triggering an action,token-cl3bwx4s500ir296axodtrbwy,token-cl3bwx4s500ir296axodtrbwy,triggering_condition_event,fails 
123,Condition triggering an action,token-cl3bx00w300sx296am643hqcg,token-cl3bx00w300sx296am643hqcg,triggering_condition_event, Closing
124,Condition triggering an action,token-cl3bwzwl700sw296aaqdxeg41,token-cl3bwzwl700sw296aaqdxeg41,triggering_condition_event,terminated
125,Condition triggering an action,token-cl3cbdd560008296anzp59mm0,token-cl3cbdd560008296anzp59mm0,triggering_condition_phrase,"upon written notice specifying the date upon which such termination shall take effect, which date shall be at least thirty (30) days from the date of such notice."
126,Condition triggering an action,token-cl3cblddh0064296a65nex2p5,token-cl3cblddh0064296a65nex2p5,triggering_condition_event,receipt
127,Condition triggering an action,token-cl3cbo1ah00af296awaq6y2rx,token-cl3cbo1ah00af296awaq6y2rx,time_sensitive_condition_phrase,"that if the Company and Principals fail to appoint a successor escrow agent within such thirty (30)-day period,"
128,Condition triggering an action,token-cl3cbrldf00fv296ag7jiw4mv,token-cl3cbrldf00fv296ag7jiw4mv,triggering_condition_event,receipt
129,Condition triggering an action,token-cl3cbrldf00fv296ag7jiw4mv,token-cl3cbrldf00fv296ag7jiw4mv,triggering_condition_event,receipt
130,Condition triggering an action,token-cl3cbrldf00fv296ag7jiw4mv,token-cl3cbrldf00fv296ag7jiw4mv,triggering_condition_event,receipt
131,Condition triggering an action,token-cl3cbw7tn00pj296a2k9q82m9,token-cl3cbw7tn00pj296a2k9q82m9,triggering_condition_event,disbursement
132,Condition triggering an action,token-cl4mp1nde00hm356fhblil72i,token-cl4mp1nde00hm356fhblil72i,triggering_condition_phrase,"In the event of such termination,"
133,Condition triggering an action,token-cl3cc92f300xm296a2ix92pwp,token-cl3cc92f300xm296a2ix92pwp,triggering_condition_phrase, upon the consummation of a Drag-Along Sale 
134,Condition triggering an action,token-cl3cc9n4u0107296a36eg5dd1,token-cl3cc9n4u0107296a36eg5dd1,triggering_condition_event,dissolution or liquidation
135,Condition triggering an action,token-cl3ccsx8l01f5296aw9h3p5ag,token-cl3ccsx8l01f5296aw9h3p5ag,triggering_condition_event,termination
136,Condition triggering an action,token-cl3cd49r001ub296ao907kbdf,token-cl3cd49r001ub296ao907kbdf,triggering_condition_phrase,in the event of termination of employment by Executive without Good Reason
137,Condition triggering an action,token-cl4moqfau001r356fomfgdy8s,token-cl4moqfau001r356fomfgdy8s,triggering_condition_phrase,"upon the earliest to occur of (a) the Closing (at which time all such obligations shall be discharged), (b) the termination of the Merger Agreement (unless the Company shall have previously commenced an action pursuant to clause (ii) of Section 5 hereof, in which case this Agreement shall terminate upon the final, non-appealable resolution of such action and satisfaction by the Fund of any obligations finally determined or agreed to be owed by the Fund, consistent with the terms hereof) (c) payment of the Damages Commitment and (d) the Company, its security holders or any of its Affiliates, or any Person claiming by, through or for the benefit of any of the foregoing, asserting a claim against any Non-Recourse Party under or in connection with the Transaction Agreements other than the Company asserting any Retained Claim against any Non-Recourse Party(ies) against which such Retained Claim may be asserted pursuant to Section 6 hereof."
138,Condition triggering an action,token-cl3cf38fa0313296ad5s2ha6a,token-cl3cf38fa0313296ad5s2ha6a,time_sensitive_condition_phrase,"if the WMB Common Stock Offering has not been consummated by the Outside Date,"
139,Condition triggering an action,token-cl3cf4syk033y296ag7p0w64x,token-cl3cf4syk033y296ag7p0w64x,triggering_condition_phrase,if there has been a material breach of any of their obligations under Section 2 hereof.
140,Condition triggering an action,token-cl3cfat5e03j6296a6g957tpn,token-cl3cfat5e03j6296a6g957tpn,triggering_condition_phrase,"if Contractor refuses to or is unable to perform the Services, is in breach of any material provision of this Agreement, or Company is dissatisfied with the quality of Contractor’s work."
141,Condition triggering an action,token-cl4mo7pge000o356fvkegrwtq,token-cl4mo7pge000o356fvkegrwtq,triggering_condition_phrase,"if the Amendment Effective Date shall not have occurred by such date,"
142,Condition triggering an action,token-cl3d2o0ln003m296a8plocicb,token-cl3d2o0ln003m296a8plocicb,triggering_condition_event, notified
143,Condition triggering an action,token-cl3d47dg30005296avr6f82f9,token-cl3d47dg30005296avr6f82f9,time_sensitive_condition_event,Closing
144,Condition triggering an action,token-cl3d2xnjl00e7296aa2pw3le2,token-cl3d2xnjl00e7296aa2pw3le2,triggering_condition_phrase,until the termination of the Credit Agreement in accordance with Section 13.10 of the Credit Agreement.
145,Condition triggering an action,token-cl3d2zxy500ga296a86ogws24,token-cl3d2zxy500ga296a86ogws24,triggering_condition_phrase,"on the earlier to occur of (a) the last remaining Receivable is paid in full, settled, sold or charged off and any amounts received are applied or (b) the Issuer is terminated under Section 8.1 of the Trust Agreement."
146,Condition triggering an action,token-cl3d35ys400iy296ax1scrzcv,token-cl3d35ys400iy296ax1scrzcv,triggering_condition_event,termination of employment (or cessation of service relationship)
147,Condition triggering an action,token-cl3dsw80g00ng296as5sc6l9d,token-cl3dsw80g00ng296as5sc6l9d,time_sensitive_condition_event,Closing
148,Condition triggering an action,token-cl3d4h5er0008296aqk3io16r,token-cl3d4h5er0008296aqk3io16r,triggering_condition_phrase,"upon the earlier to occur of (a) the date the Merger Agreement shall have been validly terminated pursuant to its terms, (b) the date of (i) any amendment, modification, change or waiver to any provision of the Merger Agreement that reduces the amount or changes the form of the Merger Consideration, (ii) any amendment, modification, change or waiver to any provision any of Section 5.12 of the Merger Agreement or (iii) any other material amendment, modification, change or waiver to any provision of the Merger Agreement, (c) in the event of an Aegerion Change of Recommendation or a QLT Change of Recommendation, in any such case in accordance with the terms of the Merger Agreement, and (d) the Effective Time (such earlier date, the “ Expiration Date ”)."
149,Condition triggering an action,token-cl3d4tx3p005g296a5pf5e25l,token-cl3d4tx3p005g296a5pf5e25l,triggering_condition_phrase,"At such time as all of the Secured Obligations (other than contingent indemnification obligations for which no claim has been asserted) have been finally paid and satisfied in full and the Commitments have been irrevocably terminated,"
150,Condition triggering an action,token-cl3d4xrin00cf296am64lphg4,token-cl3d4xrin00cf296am64lphg4,triggering_condition_event,written request
151,Condition triggering an action,token-cl3d5ee2t0089296arbovotbu,token-cl3d5ee2t0089296arbovotbu,triggering_condition_event,Facility Termination Date.
152,Condition triggering an action,token-cl4mpacfb00qm356ffwdbgn7c,token-cl4mpacfb00qm356ffwdbgn7c,time_sensitive_condition_phrase,if the Closing has not been consummated within ten (10) business days from the Expiration Time through no fault of the Investor;
